wavelength_nm,R,T,A
582,0.31030146844,0.122513221335,0.567185310226
584,0.309981756271,0.12329400431,0.566724239419
586,0.309618396873,0.124083230999,0.566298372127
588,0.309226890489,0.124878303874,0.565894805637
590,0.308823606406,0.125676372939,0.565500020656
592,0.308425089863,0.126474456528,0.565100453609
594,0.308047386498,0.127269564542,0.56468304896
596,0.307705410556,0.128058819098,0.564235770346
598,0.307412380763,0.128839567764,0.563748051473
600,0.307179344487,0.129609484862,0.563211170651
602,0.307014806543,0.13036665696,0.562618536497
604,0.306924473992,0.13110964942,0.561965876588
606,0.306911122765,0.131837551806,0.561251325429
608,0.306974586156,0.13255000101,0.560475412834
610,0.307111859691,0.133247182017,0.559640958291
612,0.307317311812,0.133929807267,0.558752880921
614,0.307582985569,0.134599076512,0.557817937919
616,0.307898973428,0.135256619843,0.556844406729
618,0.308253845292,0.135904427133,0.555841727575
620,0.308635109178,0.13654476748,0.554820123342
622,0.309029684389,0.137180102395,0.553790213216
624,0.309424368442,0.137812996376,0.552762635183
626,0.309806281173,0.138446028292,0.551747690535
628,0.310163272138,0.13908170661,0.550755021252
630,0.310484280328,0.139722391054,0.549793328618
632,0.310759638242,0.140370222774,0.548870138984
634,0.310981315179,0.14102706459,0.54799162023
636,0.311143097197,0.141694452419,0.547162450384
638,0.311240703439,0.142373558488,0.546385738073
640,0.311271840381,0.143065166621,0.545662992998
642,0.311236197071,0.143769659476,0.544994143453
644,0.311135385576,0.144487017392,0.544377597032
646,0.310972831781,0.145216828226,0.543810339993
648,0.310753622289,0.1459583074,0.543288070311
650,0.31048431371,0.146710327188,0.542805359102
652,0.310172710921,0.147471454176,0.542355834903
654,0.309827621186,0.148239993663,0.541932385151
656,0.309458591123,0.149014039706,0.54152736917
658,0.309075633647,0.149791529417,0.541132836936
660,0.308688951961,0.150570300041,0.540740747998
662,0.308308667588,0.151348147316,0.540343185097
664,0.307944559157,0.1521228836,0.539932557243
666,0.307605818323,0.152892394255,0.539501787422
668,0.307300828595,0.153654690849,0.539044480556
670,0.307036972208,0.154407959839,0.538555067953
672,0.306820469261,0.155150605517,0.538028925222
674,0.306656252381,0.155881286222,0.537462461397
676,0.306547879054,0.156598942987,0.536853177959
678,0.306497482601,0.15730282009,0.536199697309
680,0.306505761587,0.157992477184,0.535501761228
682,0.306572006312,0.158667793,0.534760200688
684,0.306694159941,0.159328960826,0.533976879232
686,0.306868910929,0.159976476255,0.533154612817
688,0.307091812586,0.160611117868,0.532297069546
690,0.307357425106,0.161233921726,0.531408653168
692,0.307659474966,0.161846150653,0.530494374381
694,0.307991026487,0.162449259397,0.529559714116
696,0.30834466038,0.163044856791,0.528610482828
698,0.308712654324,0.163634666038,0.527652679638
700,0.309087160986,0.164220484198,0.526692354816
702,0.309460379408,0.164804141893,0.525735478699
704,0.309824716218,0.165387464145,0.524787819637
706,0.310172933768,0.165972233136,0.523854833096
708,0.310498282898,0.166560153585,0.522941563517
710,0.310794618663,0.167152821268,0.522052560069
712,0.311056497904,0.167751695123,0.521191806973
714,0.31127925809,0.168358073227,0.520362668682
716,0.311459077304,0.168973072852,0.519567849844
718,0.311593015623,0.169597614689,0.518809369688
720,0.311679038495,0.17023241126,0.518088550245
722,0.311716022938,0.170877959457,0.517406017605
724,0.311703747617,0.171534537085,0.516761715298
726,0.311642867978,0.172202203259,0.516154928763
728,0.311534877749,0.172880802428,0.515584319823
730,0.311382058181,0.173569971811,0.515047970008
732,0.311187416456,0.174269151967,0.514543431577
734,0.310954614726,0.174977600213,0.514067785061
736,0.310687891256,0.1756944066,0.513617702144
738,0.31039197518,0.176418512109,0.513189512711
740,0.310071996349,0.177148728748,0.512779274904
742,0.309733391774,0.177883761185,0.512382847042
744,0.309381810161,0.178622229576,0.511995960263
746,0.309023015995,0.179362693203,0.511614290802
748,0.308662794618,0.180103674558,0.511233530824
750,0.308306859725,0.180843683488,0.510849456787
752,0.307960764596,0.181581241035,0.510457994368
754,0.307629818373,0.182314902591,0.510055279036
756,0.307319008531,0.18304328002,0.509637711448
758,0.307032930646,0.18376506241,0.509202006944
760,0.306775726363,0.184479035142,0.508745238495
762,0.30655103037,0.185184097,0.508264872629
764,0.306361926982,0.185879275083,0.507758797936
766,0.306210916759,0.186563737313,0.507225345927
768,0.306099893418,0.187236802412,0.50666330417
770,0.306030131056,0.18789794722,0.506071921724
772,0.306002281553,0.188546811339,0.505450907109
774,0.306016381818,0.189183199085,0.504800419097
776,0.306071870355,0.189807078828,0.504121050816
778,0.306167612493,0.190418579812,0.503413807696
780,0.306301933464,0.191017986606,0.50268007993
782,0.306472658428,0.191605731392,0.50192161018
784,0.306677158424,0.192182384294,0.501140457281
786,0.306912401206,0.192748642007,0.500338956787
788,0.307175005868,0.19330531498,0.499519679152
790,0.307461300164,0.193853313454,0.498685386382
792,0.307767379478,0.194393632602,0.49783898792
794,0.308089166388,0.194927337082,0.49698349653
796,0.308422469901,0.195455545248,0.496121984851
798,0.308763043462,0.195979413287,0.495257543251
800,0.309106640961,0.19650011951,0.494393239529
